edition_id,subedition_id,circ,floor_usd
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+b2e5851f-b08a-4621-8ccd-904f74ba1923,21,5,635
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+b2e5851f-b08a-4621-8ccd-904f74ba1923,22,1,1155
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+b2e5851f-b08a-4621-8ccd-904f74ba1923,0,39,110
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+bbc9e601-6e44-420d-b043-4bc3d257ec85,21,5,180
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+bbc9e601-6e44-420d-b043-4bc3d257ec85,22,1,100000
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+bbc9e601-6e44-420d-b043-4bc3d257ec85,0,37,95
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+d2265841-2688-442e-802e-27800133e000,21,5,699
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+d2265841-2688-442e-802e-27800133e000,22,1,
416c19b5-dcac-4e5d-8327-f794ec7d8ee0+d2265841-2688-442e-802e-27800133e000,0,38,223
4227aba2-6cdf-4a6a-87af-7fcd2e13562c+b3151e82-ea4c-4d5f-a223-5c70b5f76617,21,5,83
4227aba2-6cdf-4a6a-87af-7fcd2e13562c+b3151e82-ea4c-4d5f-a223-5c70b5f76617,17,99,6
4227aba2-6cdf-4a6a-87af-7fcd2e13562c+b3151e82-ea4c-4d5f-a223-5c70b5f76617,19,25,20
449c21ff-7dd0-4fde-a6f3-a6cc0a201e52+1501a47c-6680-4a54-921d-954b772c1126,0,14,1999
449c21ff-7dd0-4fde-a6f3-a6cc0a201e52+ad7ba7ed-cf2d-4707-b521-927c31831ddd,0,24,929
449c21ff-7dd0-4fde-a6f3-a6cc0a201e52+e8f6eaf9-eda8-496a-86a9-cd840fd97be7,0,14,999
4be7cade-75ed-4562-bd8f-a7c0e9997b66+545c5561-87da-4cd2-bb56-34d8e94538c2,0,10,5500
4be7cade-75ed-4562-bd8f-a7c0e9997b66+7693834f-ca62-488f-ae78-4bc7c65fcacd,0,26,995
4be7cade-75ed-4562-bd8f-a7c0e9997b66+95ff38b9-8e06-4c05-8494-cbc9ccc08a86,0,36,1149
4be7cade-75ed-4562-bd8f-a7c0e9997b66+b65630a0-3a08-4e10-a2f9-b810c77ac8a9,0,21,987
4be7cade-75ed-4562-bd8f-a7c0e9997b66+ec1d6d97-8818-4c2c-95e3-b96bc92ccada,0,26,489
54bc2e0d-91e9-4f4c-9361-a8d7eeefe91e+70ca89c6-eeb7-4dc7-8abf-059f9cf7839d,0,84,195
54bc2e0d-91e9-4f4c-9361-a8d7eeefe91e+c85bd06f-2a50-4eb1-a587-37117c29665f,0,40,1740
56bc958c-2d67-4e6e-9fd0-3d578710b9e9+06e22aa8-3f4c-4bf8-a1cf-dc068148be89,0,36,1500
5d4f6451-1c45-41ad-b96f-b8cd579d61c6+e55b9469-07a5-4b7e-a7a0-8358ac7a2576,0,1081,44
5f422f6c-fd11-4338-91e0-b9bbcb878583+20109038-9f46-496d-9c53-83faa00ec8f9,0,22,969
5f422f6c-fd11-4338-91e0-b9bbcb878583+29d6a029-bdad-4ccf-8328-8d47ab9250c3,0,50,599
5f422f6c-fd11-4338-91e0-b9bbcb878583+2a8d92b4-a75a-4e20-bfdc-0a94fa93933f,0,14,2245
5f422f6c-fd11-4338-91e0-b9bbcb878583+30e8f0a4-748c-44f5-b53c-f78341a930ff,0,50,695
5f422f6c-fd11-4338-91e0-b9bbcb878583+aed56b06-deaa-4216-a071-bfff1c68c4dc,0,26,729
